,Date,station_name,pm25_value,measurement_quality,Latitude,Longitude,Altitude..m.
5356,94,Aberdeen,24,V,57.15736,-2.094278,20
5357,94,Auchencorth Moss,19,V,55.792159999999996,-3.2429,260
5358,94,Barnstaple A39,6,V,51.074793,-4.041924,13
5359,94,Belfast Centre,25,V,54.59965,-5.928833,10
5360,94,Birmingham Acocks Green,18,V,52.437165,-1.8299990000000002,134
5361,94,Birmingham Tyburn,19,V,52.511722,-1.830583,93
5362,94,Birmingham Tyburn Roadside,20,V,52.512193999999994,-1.830861,93
5363,94,Blackpool Marton,21,V,53.80489,-3.007175,16
5364,94,Bristol St Paul's,10,V,51.462839,-2.584482,15
5365,94,Camden Kerbside,23,V,51.54421,-0.175269,50
5366,94,Cardiff Centre,13,V,51.48178,-3.17625,12
5367,94,Carlisle Roadside,23,V,54.894833999999996,-2.945307,11
5368,94,Chatham Roadside,22,V,51.374264000000004,0.54797,80
5369,94,Chepstow A48,17,V,51.638094,-2.678731,67
5370,94,Chesterfield,23,V,53.230582999999996,-1.433611,86
5371,94,Chesterfield Roadside,21,V,53.231722,-1.456944,96
5372,94,Coventry Memorial Park,20,V,52.394399,-1.5196120000000002,95
5373,94,Derry,14,V,55.001225,-7.329115,32
5374,94,Eastbourne,11,V,50.805778000000004,0.271611,7
5375,94,Edinburgh St Leonards,28,V,55.945589,-3.182186,81
5376,94,Glasgow Townhead,19,V,55.865781999999996,-4.243631,40
5377,94,Grangemouth,28,V,56.010318999999996,-3.704399,4
5378,94,Haringey Roadside,26,V,51.5993,-0.068218,10
5379,94,Harwell,15,V,51.571078,-1.325283,126
5380,94,Hull Freetown,41,V,53.748780000000004,-0.34122199999999997,4
5381,94,Leamington Spa,20,V,52.28881,-1.5331190000000001,55
5382,94,Leamington Spa Rugby Road,22,V,52.294884,-1.5429110000000001,66
5383,94,Leeds Centre,24,V,53.80378,-1.5464719999999998,78
5384,94,Leeds Headingley Kerbside,24,V,53.819972,-1.5763610000000001,85
5385,94,Leicester University,30,V,52.619823,-1.127311,83
5386,94,Liverpool Speke,23,V,53.34633,-2.8443330000000002,26
5387,94,London Bexley,25,V,51.466029999999996,0.184806,13
5388,94,London Bloomsbury,23,V,51.522290000000005,-0.125889,20
5389,94,London Harlington,24,V,51.48879,-0.441614,35
5390,94,London Harrow Stanmore,28,V,51.617333,-0.298777,79
5391,94,London Marylebone Road,31,V,51.522529999999996,-0.154611,35
5392,94,London N. Kensington,26,V,51.52105,-0.21349200000000002,5
5393,94,London Teddington Bushy Park,23,V,51.425286,-0.34560599999999997,11
5394,94,Manchester Piccadilly,19,V,53.481519999999996,-2.2378810000000002,57
5395,94,Middlesbrough,32,V,54.569297,-1.220874,10
5396,94,Newcastle Centre,28,V,54.97825,-1.610528,45
5397,94,Newport,10,V,51.601203000000005,-2.977281,24
5398,94,Norwich Lakenfields,41,V,52.61419300000001,1.301976,36
5399,94,Nottingham Centre,32,V,52.954730000000005,-1.146447,41
5400,94,Plymouth Centre,7,V,50.37167,-4.142361,18
5401,94,Portsmouth,9,V,50.82881,-1.068583,5
5402,94,Preston,22,V,53.76559,-2.6803529999999998,40
5403,94,Reading New Town,15,V,51.45309,-0.944067,58
5404,94,Rochester Stoke,29,V,51.45617,0.634889,14
5405,94,Salford Eccles,23,V,53.484809999999996,-2.334139,30
5406,94,Saltash Callington Road,5,V,50.411463,-4.227678,65
5407,94,Sandy Roadside,30,V,52.132417,-0.300306,22
5408,94,Sheffield Devonshire Green,22,V,53.378622,-1.4780959999999999,89
5409,94,Southampton Centre,11,V,50.90814,-1.395778,7
5410,94,Southend-on-Sea,24,V,51.544206,0.678408,37
5411,94,Stockton-on-Tees Eaglescliffe,28,V,54.516667000000005,-1.358547,29
5412,94,Stoke-on-Trent Centre,22,V,53.028209999999994,-2.175133,172
5413,94,Storrington Roadside,12,V,50.916932,-0.44954799999999995,41
5414,94,Sunderland Silksworth,31,V,54.88361,-1.406878,110
5415,94,Swansea Roadside,9,V,51.632696,-3.947374,61
5416,94,Warrington,24,V,53.38928000000001,-2.615358,11
5417,94,Wigan Centre,22,V,53.54914,-2.638139,45
5418,94,York Bootham,31,V,53.967513000000004,-1.086514,15
5419,94,York Fishergate,33,V,53.951889,-1.075861,16
