lat,lon,mu,var
49.7,-4.2,3.4662240642448365,0.00016994698258099294
49.7,-4.2,3.4662240642448365,0.00016994698258099294
49.7,-4.1,3.6011581562944226,0.000242346420658901
49.7,-4.0,3.760051723836235,0.00029230463822538244
49.7,-4.0,3.760051723836235,0.00029230463822538244
49.7,-3.9,3.9581261964606385,0.00023925718868467172
49.7,-3.9,3.9581261964606385,0.00023925718868467172
49.7,-3.8,4.219213476111318,0.00014615042975774095
49.7,-3.7,4.563841287217687,0.00011063982575842957
49.7,-3.7,4.563841287217687,0.00011063982575842957
49.7,-3.6,4.994818304284339,0.00015070525413463098
49.7,-3.5,5.486467751481322,0.00023386213549292378
49.7,-3.5,5.486467751481322,0.00023386213549292378
49.7,-3.4,5.985216067165566,0.00032112315864030183
