date,lat,lon,indicator,mu,var,truth,sq_error
92.0,50.3,-3.5,1.0,14.273011714548543,7.106631994334894e-05,15.14513,0.7605903038187884
92.0,50.8,-7.599999999999998,1.0,8.84932690038374,6.427317336471264e-05,9.101383999999998,0.06353278146695981
93.0,51.5,-1.7999999999999972,1.0,27.552811451818908,6.037992738231329e-05,25.379051000000004,4.725234501891925
92.0,52.0,-1.6999999999999993,1.0,15.515131573222092,5.771198434663279e-05,14.741420999999997,0.5986280511156629
92.0,54.6,-5.0,1.0,8.676974156946992,6.130800284313562e-05,7.653951600000001,1.0465751520223592
92.0,55.5,-0.09999999999999787,1.0,14.480756613797665,6.657534803683943e-05,15.999300999999997,2.3059770528666195
93.0,52.3,-10.0,1.0,3.222712194185604,8.656215857500259e-05,2.7559377999999994,0.2178783350673382
93.0,53.1,-7.300000000000002,1.0,8.748374072025204,6.546255462410251e-05,9.023874000000003,0.07590021031411953
92.0,50.6,0.8000000000000007,1.0,23.626977755610266,7.641559182513879e-05,23.545610000000003,0.006620711653051413
92.0,57.8,-7.300000000000002,1.0,10.84356825148268,6.69998825697337e-05,11.549976,0.4990119071653088
92.0,51.0,-2.799999999999997,1.0,15.028517411107352,5.202983021718359e-05,13.596444,2.050834254800646
92.0,57.2,-10.7,1.0,8.697350911508353,0.00022473696440704393,10.920299,4.941498204128665
93.0,53.6,0.6000000000000014,1.0,31.42400446028345,0.00010672414260266071,34.42716600000001,9.018979233632727
92.0,55.0,-1.0,1.0,19.26081604892105,5.7635455286060825e-05,17.4615,3.237538243904857
92.0,52.5,-9.1,1.0,5.7680802918845755,4.6063256807800925e-05,6.133677,0.1336609529848346
92.0,53.3,-3.3999999999999986,1.0,8.68438399364377,5.651863846757284e-05,11.916999,10.449799779319491
92.0,54.8,-4.599999999999998,1.0,9.071126512240104,6.019716509729395e-05,9.461739999999997,0.1525788968199481
92.0,53.0,-10.7,1.0,5.773326374378112,0.0003082816529011485,6.051303400000001,0.07727122677359256
92.0,50.0,-4.5,1.0,13.458159389774227,9.679266723242798e-05,13.282326999999999,0.030917029293716272
92.0,54.0,-5.0,1.0,7.510037499200696,6.153763218776788e-05,6.893865600000001,0.3796678093645923
