date,lat,lon,indicator,mu,var
92.0,50.6,-7.1,0.0,2.7841663727919217,0.0014075663817542073
92.0,50.6,-6.9,0.0,2.829254179408838,0.0013863594233268785
92.0,50.6,-6.6,0.0,2.8992514044273214,0.0013564761065586754
92.0,50.6,-6.4,0.0,2.947524908335675,0.001337456952936017
92.0,50.6,-6.1,0.0,3.0223800945658907,0.0013097915794611811
92.0,50.6,-5.9,0.0,3.0739169454755704,0.0012917341140259195
92.0,50.6,-5.6,0.0,3.1536481449071747,0.001265071857649797
92.0,50.6,-5.3,0.0,3.236216249170207,0.0012389586670087688
92.0,50.6,-5.1,0.0,3.292770834633369,0.0012219923287013791
92.0,50.6,-4.8,0.0,3.3797192226677106,0.0011976013446757072
92.0,50.6,-4.6,0.0,3.4389826421097993,0.0011823750188484784
92.0,50.6,-4.3,0.0,3.5295799141281483,0.0011618134888653569
92.0,50.6,-4.1,0.0,3.5909388236440964,0.001150139012062475
92.0,50.6,-3.8,0.0,3.68406329294477,0.001136704232061927
92.0,50.6,-3.6,0.0,3.746629044369021,0.001131142261024871
92.0,50.6,-3.3,0.0,3.8407282003212257,0.0011291680269667267
92.0,50.6,-3.0,0.0,3.9344802584114404,0.0011364991870575747
92.0,50.6,-2.8,0.0,3.996389596575004,0.0011475328967151166
92.0,50.6,-2.5,0.0,4.087704737326442,0.001174831481267988
92.0,50.6,-2.3,0.0,4.147133038579986,0.001201108555221546
92.0,50.6,-2.0,0.0,4.233343829740346,0.001254219656792944
92.0,50.6,-1.8,0.0,4.288397916492409,0.0012996746438638696
92.0,50.6,-1.5,0.0,4.366522638643026,0.0013844744855205818
92.0,50.6,-1.3,0.0,4.4151418287846065,0.0014529622249427098
92.0,50.6,-1.0,0.0,4.482024195134224,0.0015750673324155793
92.0,50.6,-0.8,0.0,4.522090127388984,0.0016701845378636992
92.0,50.6,-0.5,0.0,4.574587063810852,0.0018347144082410361
92.0,50.6,-0.2,0.0,4.617032740813707,0.0020268862230264162
92.0,50.6,0.0,0.0,4.639267897073033,0.002171078953925693
92.0,50.6,0.3,0.0,4.662891973031104,0.0024124564729230496
92.0,50.6,0.5,0.0,4.671837035699699,0.002590607915190749
92.0,50.6,0.8,0.0,4.674606109016295,0.002884455566094822
92.0,50.6,1.0,0.0,4.669162724013,0.0030984947410738345
92.0,50.6,1.3,0.0,4.649862785219885,0.0034473482592527467
92.0,50.6,1.5,0.0,4.629533112122324,0.0036987368888102175
92.0,50.6,1.8,0.0,4.587912411546064,0.004104463752142545
92.0,50.8,-10.7,0.0,2.1317702490665376,0.002317415305416083
92.0,50.8,-10.4,0.0,2.1765739428258626,0.0021250969232468626
92.0,50.8,-10.2,0.0,2.2070707387686426,0.0020128651207073803
92.0,50.8,-9.9,0.0,2.2538516092970444,0.0018660826930685709
92.0,50.8,-9.7,0.0,2.2857892828600685,0.0017812429699654983
92.0,50.8,-9.4,0.0,2.334932096162791,0.0016712636848164578
92.0,50.8,-9.2,0.0,2.3685867732941106,0.0016082184368916522
92.0,50.8,-8.9,0.0,2.420531336194588,0.0015270451912958274
92.0,50.8,-8.7,0.0,2.45621062516593,0.0014807573053966202
92.0,50.8,-8.4,0.0,2.5114345654577437,0.0014213111039713627
92.0,50.8,-8.1,0.0,2.5688625790318325,0.0013719221021682546
92.0,50.8,-7.9,0.0,2.608459490478772,0.0013436067830671498
92.0,50.8,-7.6,0.0,2.669949066762282,0.0013067397372783706
92.0,50.8,-7.4,0.0,2.7124087525113505,0.0012852173005942938
92.0,50.8,-7.1,0.0,2.778410235263422,0.001256490480582236
92.0,50.8,-6.9,0.0,2.82401103197261,0.0012391949864069638
92.0,50.8,-6.6,0.0,2.8948971754747963,0.0012152956892305174
92.0,50.8,-6.4,0.0,2.9438502350028224,0.0012003789734582504
92.0,50.8,-6.1,0.0,3.019867898945365,0.0011790819200141942
92.0,50.8,-5.9,0.0,3.0722826056367336,0.0011654297087109872
92.0,50.8,-5.6,0.0,3.153497482589958,0.0011456258870836567
92.0,50.8,-5.3,0.0,3.237764116759112,0.001126661397516947
92.0,50.8,-5.1,0.0,3.295578074452287,0.001114604456298681
92.0,50.8,-4.8,0.0,3.3846164674526293,0.0010977474070605097
92.0,50.8,-4.6,0.0,3.445412502075415,0.001087620776522982
92.0,50.8,-4.3,0.0,3.5385250402590005,0.0010747473003509575
92.0,50.8,-4.1,0.0,3.601708154562652,0.0010681709549764282
92.0,50.8,-3.8,0.0,3.697792860759192,0.0010622401273747625
92.0,50.8,-3.6,0.0,3.7624813916337385,0.0010615199222615739
